nucleus_id,time,ap,bcd
1.0095,0,568.88,16
1.0095,0.5,564.78,13
1.0095,1,565.6,18
1.0155,0,504.68,15
1.0155,0.5,504.68,14
1.0155,1,504.68,16
1.0155,1.5,504.54,16
1.0196,0,698.14,16
1.0196,0.5,698.08,10
1.0199,0,698.53,6
1.0199,0.5,696.69,13
1.0202,0,690.9,8
1.0202,0.5,689.88,13
1.0207,0,679.33,13
1.0207,0.5,682.68,19
1.0208,0,663.61,14
1.0208,0.5,663.61,11
1.0209,0,681.55,12
1.0209,0.5,680.66,20
1.021,0,659.73,12
1.021,0.5,659.6,11
1.0211,0,671.46,10
1.0211,0.5,669.89,9
1.0213,0,650.43,15
1.0213,0.5,652.13,8
1.0215,0,649.25,17
1.0215,0.5,648.37,10
1.0219,0,646.21,9
1.0219,0.5,648.66,16
1.022,0,636.52,13
1.022,0.5,635.36,14
1.0221,0,648.67,9
1.0221,0.5,650.45,14
1.0222,0,632.54,14
1.0222,0.5,634.18,14
1.0223,0,616.99,14
1.0223,0.5,618.56,13
1.0224,0,640.09,14
1.0224,0.5,640.02,10
1.0225,0,622.07,9
1.0225,0.5,622.82,13
1.0227,0,613.02,10
1.0227,0.5,613.02,18
1.0228,0,622.19,12
1.0228,0.5,623.01,10
1.0229,0,604.72,17
1.0229,0.5,607.25,18
1.023,0,605.55,12
1.023,0.5,607.26,16
1.0231,0,624.18,10
1.0231,0.5,624.04,15
1.0232,0,604.23,19
1.0232,0.5,604.23,17
1.0233,0,593.94,9
1.0233,0.5,593.25,13
1.0235,0,603.38,10
1.0235,0.5,603.38,9
1.0236,0,590.51,18
1.0236,0.5,589.69,18
1.0236,1,590.37,20
1.0237,0,583.89,12
1.0237,0.5,583.96,12
1.0238,0,584.67,8
1.0238,0.5,584.53,15
1.0239,0,584.95,12
1.0239,0.5,584.06,11
1.0241,0,583.86,11
1.0241,0.5,583.8,12
1.0241,1,584.61,9
1.0242,0,565.29,17
1.0242,0.5,565.29,13
1.0243,0,576.19,14
1.0243,0.5,577.01,13
1.0244,0,549.66,15
1.0244,0.5,549.66,11
1.0244,1,551.3,12
1.0245,0,567.62,12
1.0245,0.5,566.8,12
1.0245,1,567.55,14
1.0246,0,410.61,19
1.0246,0.5,410.61,26
1.0246,1,410.55,24
1.0247,0,395.53,18
1.0247,0.5,394.78,22
1.0247,1,394.03,23
1.0248,0,403.09,19
1.0248,0.5,403.09,21
1.0248,1,401.52,30
1.0248,1.5,396.41,20
1.0248,2,392.99,20
1.0248,2.5,388.97,25
1.0248,3,385.9,21
1.0248,3.5,383.65,28
1.0248,4,382.15,42
1.0248,4.5,383.79,42
1.0248,5,387.95,55
1.0248,5.5,391.97,51
1.0248,6,395.25,56
1.0248,6.5,397.71,70
1.0248,7,399.34,64
1.0248,7.5,400.16,59
1.0248,8,400.09,75
1.0248,8.312,400.09,58
1.0248,8.812,400.16,58
1.0248,9.312,400.98,58
1.0248,9.812,400.98,56
1.0248,10.312,400.98,51
1.0248,10.603,401.05,69
1.0248,11.102,401.05,54
1.0248,11.602,401.05,50
1.0248,12.103,401.05,47
1.0248,12.603,400.98,63
1.0248,13.103,401.05,61
1.0248,13.603,401.05,48
1.0248,14.007,401.05,49
1.0248,14.523,400.23,58
1.0248,15.023,401.05,53
1.0248,15.523,401.05,65
1.0248,16.023,401.87,48
1.0248,16.523,401.87,44
1.0248,17.023,401.12,56
1.0248,17.523,401.05,48
1.0248,18.023,400.3,51
1.0248,18.523,401.12,52
1.0248,19.023,401.12,58
1.0248,19.523,401.19,42
1.0248,20.023,401.19,54
1.0248,20.304,401.19,50
1.0248,20.804,401.19,60
1.0248,21.304,400.37,54
1.0248,21.649,400.37,54
1.0248,22.149,400.37,47
1.0248,22.649,401.19,52
1.0248,23.149,400.37,49
1.0248,23.649,400.44,55
1.0248,24.149,401.25,49
1.0248,24.757,401.25,46
1.0248,25.117,401.25,49
1.0248,25.617,401.25,47
1.0248,26.117,402.14,48
1.0248,26.617,402.14,42
1.0248,27.117,402.14,50
1.0248,27.617,402.21,48
1.0248,28.117,402.21,57
1.0248,28.617,402.28,45
1.0248,29.117,403.1,49
1.0248,29.424,403.1,50
1.0248,29.924,403.1,46
1.0248,30.424,403.17,46
1.0248,30.924,403.17,49
1.0248,31.424,403.17,43
1.0248,31.802,403.17,45
1.0248,32.302,403.24,43
1.0248,32.802,403.24,40
1.0248,33.302,403.24,41
1.0248,33.802,403.24,43
1.0248,34.302,403.24,47
1.0248,34.952,403.3,46
1.0248,35.452,403.3,36
1.0248,35.952,402.55,45
1.0248,36.452,402.55,47
1.0249,0,389.24,21
1.0249,0.5,387.61,19
1.025,0,379.16,21
1.025,0.5,377.52,23
1.0251,0,362.11,24
1.0251,0.5,362.79,24
1.0252,0,378.97,16
1.0252,0.5,379.72,25
1.0253,0,365.39,19
1.0253,0.5,365.39,18
1.0254,0,383.49,21
1.0254,0.5,382.67,21
1.0255,0,364.45,22
1.0255,0.5,364.51,23
1.0256,0,370.21,25
1.0256,0.5,370.21,23
1.0257,0,358.61,27
1.0257,0.5,358.61,25
1.0263,0,342.11,28
1.0263,0.5,342.86,30
1.0264,0,348.88,26
1.0264,0.5,346.5,21
1.0266,0,345.62,24
1.0266,0.5,345.55,20
1.0269,0,566.98,15
1.0269,0.5,566.16,11
1.0269,1,566.98,15
1.027,0,553.27,11
1.027,0.5,553.34,14
1.027,1,553.95,17
1.0271,0,560.8,11
1.0271,0.5,560.73,10
1.0271,1,559.85,13
1.0271,1.5,564.76,12
1.0271,2,566.4,15
1.0271,2.5,567.15,13
1.0271,3,568.78,14
1.0271,3.5,571.85,13
1.0271,4,575.74,19
1.0271,4.5,577.31,19
1.0271,5,577.24,19
1.0271,5.5,574.85,16
1.0271,6,573.35,22
1.0271,6.5,571.85,19
1.0271,7,570.28,23
1.0271,7.5,569.53,25
1.0271,8,568.72,26
1.0271,8.312,568.78,27
1.0271,8.812,569.6,28
1.0271,9.312,569.67,25
1.0271,9.812,569.67,22
1.0271,10.312,570.56,23
1.0271,10.603,569.81,18
1.0271,11.102,570.63,20
1.0271,11.602,570.63,22
1.0271,12.103,570.7,25
1.0271,12.603,570.76,23
1.0271,13.103,570.76,30
1.0271,13.603,570.7,19
1.0271,14.007,571.58,20
1.0271,14.523,570.76,25
1.0271,15.023,571.51,21
1.0271,15.523,572.4,25
1.0271,16.023,571.58,24
1.0271,16.523,572.4,29
1.0271,17.023,572.4,19
1.0271,17.523,572.47,24
1.0271,18.023,572.47,24
1.0271,18.523,572.47,19
1.0271,19.023,572.47,23
1.0271,19.523,572.54,23
1.0271,20.023,573.43,20
1.0271,20.304,572.54,23
1.0271,20.804,572.54,19
1.0271,21.304,572.54,22
1.0271,21.649,572.61,16
1.0271,22.149,572.61,19
1.0271,22.649,573.43,24
1.0271,23.149,573.36,21
1.0271,23.649,572.61,20
1.0271,24.149,572.61,20
1.0271,24.757,572.68,27
1.0271,25.117,573.5,18
1.0271,25.617,573.5,17
1.0271,26.117,572.75,18
1.0271,26.617,572.75,21
